상호명,도로명,위도,경도
컴포즈커피마산,경상남도 창원시 마산회원구 내서읍 중리상곡로,35.2485663607146,128.509627984372
컴포즈커피마산합포로점,경상남도 창원시 마산합포구 합포로,35.2120384586312,128.585856390028
컴포즈커피김해,경상남도 김해시 진영읍 김해대로361번길,35.3074992426775,128.729826886933
컴포즈커피진주경상대,경상남도 진주시 진주대로,35.1529586659376,128.10615514612
컴포즈커피마산,경상남도 창원시 마산회원구 내서읍 옥정1길,35.2488784559643,128.523101930553
컴포즈양산범어경민점,경상남도 양산시 물금읍 황산로,35.3331806333247,129.009218972819
컴포즈커피장유무계점,경상남도 김해시 장유로301번길,35.2002897841122,128.81542545513
컴포즈커피갑을점,경상남도 김해시 장유로,35.2066532858248,128.806065940902
컴포즈커피진해자은점,경상남도 창원시 진해구 냉천로,35.1554027709626,128.713473033697
컴포즈커피중동유니시티,경상남도 창원시 의창구 중동로,35.2547077939606,128.626208261954
컴포즈커피무전점,경상남도 통영시 중앙로,34.8578253529476,128.427567979399
컴포즈커피함안칠원점,경상남도 함안군 칠원읍 원서로,35.3078976493176,128.51807125633
컴포즈커피진동점,경상남도 창원시 마산합포구 진동면 삼진의거대로,35.1144319289714,128.485917928589
컴포즈커피거창점,경상남도 거창군 거창읍 아림로,35.6852792376455,127.911102899645
컴포즈커피진해,경상남도 창원시 진해구 진해대로776번길,35.1561484470264,128.698431502916
컴포즈커피진주,경상남도 진주시 사들로,35.1759097181494,128.14870620801
컴포즈커피,경상남도 진주시 가좌길,35.1563491168604,128.104985089616
컴포즈커피,경상남도 창원시 마산회원구 합성동7길,35.2423144805009,128.590106510414
컴포즈커피산청,경상남도 산청군 산청읍 산엔청로,35.4146160834384,127.875713932138
컴포즈커피호탄점,경상남도 진주시 강변길,35.1645017704793,128.111055066495
컴포즈커피장평포레나점,경상남도 거제시 장평1로,34.892050185925,128.606606174468
컴포즈커피진해경화,경상남도 창원시 진해구 충장로,35.1538823929236,128.691179174758
컴포즈커피남양점,경상남도 창원시 성산구 대정로,35.2114337730166,128.702869644579
컴포즈커피서상동메트로점,경상남도 창원시 의창구 평산로207번길,35.260180849897,128.625920658048
컴포즈커피,경상남도 양산시 평산6길,35.3820830336274,129.151024962752
컴포즈커피마산교방롯데,경상남도 창원시 마산합포구 노산서18길,35.2153376759659,128.564988492505
컴포즈커피양산,경상남도 양산시 물금읍 물금로,35.3129251343443,128.98978883845
컴포즈커피상문점,경상남도 거제시 상동1길,34.8645754209958,128.639642335882
컴포즈커피마산,경상남도 창원시 마산합포구 동서동2길,35.2019623775532,128.574186808741
컴포즈커피마산,경상남도 창원시 마산합포구 315대로,35.2006499009659,128.56768718529
컴포즈커피창동,경상남도 창원시 마산합포구 창동거리길,35.2058535785231,128.574807265212
컴포즈커피봉림점,경상남도 창원시 의창구 대봉로,35.2513241653893,128.667313394041
컴포즈커피,경상남도 김해시 인제로,35.2461084845594,128.904193938364
컴포즈커피창원덕산점,경상남도 창원시 성산구 대정로,35.2136276720771,128.706919568619
컴포즈커피진해,경상남도 창원시 진해구 남영로,35.1056192033556,128.751902677992
컴포즈커피팔용점,경상남도 창원시 의창구 팔용로,35.2553496304002,128.613531451001
컴포즈커피,경상남도 창원시 의창구 읍성로,35.265182229626,128.626200912285
컴포즈김해,경상남도 김해시 분성로,35.2296479210571,128.864869259435
컴포즈커피양산,경상남도 양산시 양산역6길,35.3374409287074,129.027785142411
컴포즈커피창원성산반도유,경상남도 창원시 성산구 비음로,35.2178467443957,128.709921896167
컴포즈커피김해골든루트점,경상남도 김해시 주촌면 골든루트로,35.2124829297427,128.829122884611
컴포즈커피진해,경상남도 창원시 진해구 충장로657번길,35.1305866690363,128.705762282465
컴포즈커피밀양삼문점,경상남도 밀양시 중앙로,35.4862164459441,128.75622444097
컴포즈커피,경상남도 양산시 물금읍 야리로,35.3112349951939,129.007802659819
컴포즈커피양산,경상남도 양산시 물금읍 범어로,35.3265816795321,129.016858007192
컴포즈커피기업사랑공원점,경상남도 창원시 성산구 가음정로23번길,35.2107500844556,128.688508563203
컴포즈커피율하루브루점,경상남도 김해시 율하6로,35.1714272945144,128.823326718486
컴포즈커피양곡지점,경상남도 창원시 성산구 신촌로,35.202269141203,128.628583999375
컴포즈커피홈플러스,경상남도 거제시 장평로,34.8910632214228,128.616434570126
컴포즈커피초전,경상남도 진주시 초북로,35.212796109477,128.106342813442
컴포즈커피창원명서전통,경상남도 창원시 의창구 명서로116번길,35.2483943623578,128.645752089828
컴포즈,경상남도 김해시 김해대로1902번길,35.2504784410331,128.867496916592
컴포즈커피평거들말점,경상남도 진주시 평거로14번길,35.1717928569439,128.063089630646
컴포즈커피마산석전점,경상남도 창원시 마산회원구 양덕서8길,35.2317073504662,128.578373317247
컴포즈커피,경상남도 창원시 마산합포구 월영북1길,35.1805435261847,128.557029147255
컴포즈커피창원대방점,경상남도 창원시 성산구 가양로136번길,35.2074808854823,128.708316029718
컴포즈커피신기점,경상남도 양산시 신기서길,35.3544420730889,129.039222961782
컴포즈커피창원토월점,경상남도 창원시 성산구 동산로,35.2190110257179,128.690972922348
컴포즈커피삼천포,경상남도 사천시 서부시장길,34.9275477642944,128.069250621274
컴포즈커피진주역점,경상남도 진주시 관문로,35.1521826126015,128.116833497654
컴포즈,경상남도 창녕군 창녕읍 말흘5길,35.5374605044218,128.501920651865
컴포즈커피양산,경상남도 양산시 동면 금오16길,35.317702241394,129.026567554487
컴포즈커피부산신항점,경상남도 창원시 진해구 신항동로,35.0883738113988,128.813520388686
컴포즈커피서호점,경상남도 통영시 새터길,34.8418491076814,128.42037808768
컴포즈커피,경상남도 진주시 진양호로,35.1668507402329,128.04828790247
컴포즈커피,경상남도 김해시 유하로29번길,35.2046255569962,128.814085013148
컴포즈커피장유율하,경상남도 김해시 율하3로,35.1725589007452,128.814610562606
컴포즈커피마산내서감천점,경상남도 창원시 마산회원구 내서읍 광려로,35.2249231421459,128.502910886665
컴포즈커피,경상남도 양산시 삼호1길,35.4145231859371,129.167858618366
컴포즈커피가촌점,경상남도 양산시 물금읍 가촌서로,35.3191531101732,128.989853727364
컴포즈커피창원스마트업점,경상남도 창원시 의창구 차룡로48번길,35.2411685844526,128.631411115989
컴포즈장유,경상남도 김해시 율하카페길,35.1761510734481,128.81393278895
컴포즈,경상남도 양산시 양주로,35.337666857691,129.034058081068
컴포즈커피사림,경상남도 창원시 의창구 사림로,35.2474790575778,128.677962498149
컴포즈커피양산웅상점,경상남도 양산시 신명동로,35.4027623587671,129.17047419226
컴포즈커피삼천포점,경상남도 사천시 주공로,34.9402473645121,128.086755235151
컴포즈커피김해구산육,경상남도 김해시 가락로,35.2494186138274,128.873232545082
컴포즈창원,경상남도 창원시 성산구 동산로65번길,35.2167904342552,128.685176450752
컴포즈커피창원,경상남도 창원시 의창구 원이대로,35.2427233335111,128.651014170405
컴포즈창원반지점,경상남도 창원시 성산구 원이대로393번길,35.2389119876931,128.662344414502
컴포즈커피,경상남도 양산시 물금읍 청운로,35.3166802684843,129.003350312268
컴포즈커피황산공원점,경상남도 양산시 물금읍 물금중앙길,35.3094287729713,128.9830384657
컴포즈커피성주점,경상남도 창원시 성산구 대암로,35.2036211605577,128.711676058888
컴포즈커피마산산호점,경상남도 창원시 마산합포구 용마로,35.2220866163631,128.584544490366
컴포즈커피진영대진점,경상남도 김해시 진영읍 테크노밸리길,35.2738348547264,128.762961800012
컴포즈상남,경상남도 창원시 성산구 단정로,35.2202406009868,128.682382402956
컴포즈커피마산합,경상남도 창원시 마산회원구 합성남3길,35.2393471612216,128.584877062828
컴포즈커피양산석계점,경상남도 양산시 상북면 상북중앙로,35.41495564142,129.060402040138
컴포즈커피진주,경상남도 진주시 초전남로,35.2004939867107,128.113531099308
컴포즈커피진례,경상남도 김해시 진례면 테크노밸리로,35.2773929882241,128.771865908626
컴포즈커피밀양미리벌점,경상남도 밀양시 미리벌로3길,35.4831821481067,128.745550495596
컴포즈커피신주점,경상남도 양산시 물금읍 신주로,35.3344766319237,129.015911917672
컴포즈삼정점,경상남도 김해시 활천로36번길,35.233131506979,128.897721900662
컴포즈커피창원명서점,경상남도 창원시 의창구 도계로,35.2530961313862,128.6430421085
컴포즈커피마산해운동점,경상남도 창원시 마산합포구 해안대로,35.1802937257646,128.562319470555
컴포즈창원,경상남도 창원시 의창구 용동로,35.2366888313151,128.697066668708
컴포즈커피삼방동원점,경상남도 김해시 삼안로,35.2488417983288,128.912322628846
컴포즈커피물금점,경상남도 양산시 물금읍 물금1길,35.3094097094667,128.987590728177
컴포즈커피통영도남점,경상남도 통영시 발개로,34.8261627587748,128.420527946583
컴포즈커피통영,경상남도 통영시 광도면 죽림2로,34.8803412572284,128.415443408668
컴포즈커피마산합포,경상남도 창원시 마산합포구 315대로,35.1952257201261,128.567177253014
컴포즈커피창원아티움시티점,경상남도 창원시 의창구 창원대로397번길,35.235984157697,128.641940199333
컴포즈창원,경상남도 창원시 마산합포구 현동4길,35.1515078220068,128.553242233098
컴포즈커피창원,경상남도 창원시 성산구 원이대로589번길,35.2286087946853,128.680233340683
컴포즈커피어반브릭스점,경상남도 창원시 의창구 중동중앙로,35.2566339171314,128.625025214653
컴포즈커피마산창신대점,경상남도 창원시 마산회원구 구암남10길,35.2488488936607,128.599450142384
컴포즈커피금산점,경상남도 진주시 금산면 금산로,35.2145036795958,128.145909705779
컴포즈커피,경상남도 창원시 의창구 도계로,35.25855758919,128.638139832771
컴포즈,경상남도 김해시 내외로77번길,35.2351560509399,128.866048338902
컴포즈커피김해삼계분성,경상남도 김해시 삼계로,35.2679013472001,128.866385674757
컴포즈창원,경상남도 창원시 성산구 창이대로692번길,35.2224675755998,128.699669297858
컴포즈커피덕계,경상남도 양산시 덕명로,35.3709717159705,129.162080764069
컴포즈커피죽림,경상남도 통영시 광도면 죽림5로,34.8870434742622,128.419459383114
컴포즈커피마산회원이편한점,경상남도 창원시 마산회원구 회원북13길,35.2220477445885,128.570011162978
컴포즈커피석전,경상남도 창원시 마산회원구 석전남8길,35.2297962271288,128.570801410091
컴포즈커피창원,경상남도 창원시 성산구 연덕로184번길,35.2165126474192,128.670389514548
컴포즈커피,경상남도 창원시 진해구 여명로,35.1536331103315,128.656581827304
컴포즈커피양산,경상남도 양산시 신명로,35.386254261447,129.145547904512
컴포즈커피,경상남도 김해시 계동로102번길,35.186261164395,128.796871965375
컴포즈항남점,경상남도 통영시 중앙로,34.8429854825726,128.422833171575
컴포즈커피진해,경상남도 창원시 진해구 천자로,35.1353223067438,128.709852242494
컴포즈커피한림병동공단점,경상남도 김해시 한림면 김해대로916번길,35.2850348358174,128.791704315559
컴포즈커피거제능포점,경상남도 거제시 능포로,34.8756038431953,128.731742833874
컴포즈커피거제옥포,경상남도 거제시 옥포대첩로,34.893408708698,128.691528787548
컴포즈커피풍호점,경상남도 창원시 진해구 풍호로,35.1400585041176,128.706129342042
컴포즈커피창원반림점,경상남도 창원시 성산구 원이대로473번길,35.2348434491689,128.669474593471
컴포즈커피,경상남도 진주시 신안들말길,35.1795434019589,128.066554124477
컴포즈커피양산목화점,경상남도 양산시 물금읍 목화로,35.331427533405,129.001079681773
컴포즈커피봉암대로점,경상남도 창원시 마산회원구 봉양로,35.2210657333938,128.596104142554
컴포즈커피창원용지점,경상남도 창원시 성산구 외동반림로,35.2356311615247,128.676952009868
컴포즈커피함안칠서점,경상남도 함안군 칠서면 함의로,35.3152704928013,128.507604609023
컴포즈하대점,경상남도 진주시 대신로,35.1931716298267,128.116354065311
컴포즈커피마산구암,경상남도 창원시 마산회원구 합성동7길,35.2423144805009,128.590106510414
